,department,course_title,course_name,credits,area,competency,time
0,A S,AS101A,Heritage and Values,0.5,,,8:00-8:50 T
1,A S,101LA,Leadership Lab,0.0,,,6:00-7:30 AM T
4,A S,AS201A,Team & Leadership Fundamentals,0.5,,,9:00-9:50 W
5,A S,201LA,Leadership Lab,0.0,,,6:00-7:30 AM T
8,A S,AS301A,Leading People and Effective Communication,0.75,,,3:30-5:00 PM TR
9,A S,301LA,Leadership Lab,0.0,,,6:00-7:30 AM T
12,A S,AS401A,"National Security, Leadership Responsibilities, and Commissioning Preparation",0.75,,,8:00-9:30 TR
13,A S,401LA,Leadership Lab,0.0,,,6:00-7:30 AM T
16,AFST,AFST100A,Introduction to Africana Studies: Leadership,1.0,"PPD, SS",,10:00-11:30 TR
18,AFST,AFST240A,Readings in Literatures of the Black Diaspora: Women Writers of the African Diaspora,1.0,"GL, AH",,12:40-2:10 TR
20,AFST,AFST290A,Tps:African American Cinema,1.0,"PPD, AH",W,2:20-3:50 MW
21,AFST,290LA,Film Screening,0.0,,,7:00-9:50 PM T
24,AFST,AFST390A,AdvTps:Women Writers of the African Diaspora,1.0,,,ARR
26,AFST,AFST390B,AdvTps:The Caribbean Business Environment,1.0,,,ARR
28,ANTH,ANTH151A,Human Cultures,1.0,SS,,10:00-11:30 TR
30,ANTH,ANTH151B,Human Cultures,1.0,SS,,12:40-2:10 TR
32,ANTH,ANTH151C,Human Cultures,1.0,SS,,2:20-3:50 MW
34,ANTH,ANTH151PA,Human Cultures,1.0,"PPD, SS",,12:30-1:30 MWF
36,ANTH,ANTH151PB,Human Cultures,1.0,"PPD, SS",,2:20-3:50 TR
38,ANTH,ANTH153A,Human Origins,1.0,SM,,9:10-10:10 MWF
40,ANTH,ANTH197AA,FYS:Understanding Culture Through Play: The Anthropology of Video Games,1.0,,,12:40-2:10 TR
42,ANTH,ANTH253A,Environmental Anthropology,1.0,SS,,2:20-3:50 TR
44,ANTH,ANTH290A,"Persp:The Undead, Monsters and the Paranormal",1.0,SS,W,2:50-3:50 MWF
46,ANTH,ANTH290B,Tps:Environmental Justice,1.0,"PPD, SS",,10:20-11:20 MWF
48,ANTH,ANTH380A,Anth/Reproduct Americas,1.0,"GL, SS",,10:00-11:30 TR
50,ANTH,ANTH383A,Anthropology History & Theory,1.0,,S,10:20-11:20 MWF
52,ANTH,ANTH450A,Ethnographic Methods,1.0,,S,9:10-10:10 MWF
54,ARTD,ARTD120A,Intro to Design Studies,1.0,AH,,8:20-9:50 MW
56,ARTD,ARTD294A,Intermediate Design Studies: Material and Message,1.0,AH,,12:30-3:20 MW
58,ARTD,ARTD394A,Advanced Design Studies: Material and Message,1.0,AH,,12:30-3:20 MW
60,ARTH,ARTH132A,Later Art Histories: After 1400 C.E,1.0,AH,,12:30-1:30 MWF
62,ARTH,ARTH197HA,FYS:Medieval Marvels,1.0,,,9:10-10:10 MWF
64,ARTH,ARTH281A,Histories of Performance Art,1.0,AH,,8:20-9:50 MW
66,ARTH,ARTH290B,Tps:Latin American Early Modern Art,1.0,AH,,2:20-3:50 TR
68,ARTH,ARTH390A,AdvTps:Histories of Photography,1.0,AH,,2:20-3:50 MW
70,ARTS,ARTS152A,Drawing: Learning to See,1.0,AH,,2:20-3:50 MW
72,ARTS,ARTS153A,Intro to Painting,1.0,AH,,8:20-9:50 TR
74,ARTS,ARTS153B,Introduction to Painting,1.0,AH,,2:20-3:50 TR
76,ARTS,ARTS163A,Intro to Photography,1.0,AH,,8:30-11:20 TR
78,ARTS,ARTS170A,Intro to Sculpture,1.0,AH,,12:40-3:30 TR
80,ARTS,ARTS175A,Intro to Ceramics,1.0,AH,,2:20-3:50 MW
82,ARTS,ARTS197SA,FYS:Controversy in Contemporary Art,1.0,,,2:20-3:50 MW
84,ARTS,ARTS198BA,IntroStudio:Painting,1.0,AH,,ARR
86,ARTS,ARTS273A,Sculpture and Sustainability,1.0,AH,,8:30-11:20 TR
88,ARTS,ARTS298EA,IntermedStudio:Landscape Photography,1.0,AH,,12:40-2:10 TR
90,ARTS,ARTS298GA,IntermedStudio:Digital,0.5,AH,,ARR
92,ARTS,ARTS373A,Advanced Sculpture and Sustainability,1.0,AH,,8:30-11:20 TR
94,ARTS,ARTS398CA,AdvStudio:Ceramics,0.5,AH,,ARR
96,ARTS,ARTS398CB,AdvStudio:Ceramics,0.25,AH,,ARR
98,ARTS,ARTS398EA,AdvStudio:Landscape Photography,1.0,AH,,12:40-2:10 TR
100,ARTS,ARTS398GA,AdvStudio:Digital,1.0,AH,,ARR
102,ARTS,ARTS398HA,AdvStudio:Interdiscip,0.5,AH,,ARR
104,ARTS,ARTS491A,Senior Projects I,1.0,,,8:30-11:20 MW
106,ASIA,ASIA290A,"Tps:Cities in Asia, 1500-present",1.0,"GL, SS",,12:40-2:10 TR
