,department,course_title,course_name,credits,area,competency,time
0,A S,AS102A,Heritage and Values,0.5,,,8:00-8:50 T
1,A S,102LA,Leadership Lab,0.0,,,3:00-4:30 W
4,A S,AS202A,Team & Leadership Fundamentals,0.5,,,9:00-9:50 T
5,A S,202LA,Leadership Lab,0.0,,,3:00-4:30 W
8,A S,AS302A,LeadingPeople&EffectiveComm,0.75,,,ARR
9,A S,302LA,Leadership Lab,0.0,,,3:00-4:30 W
12,A S,AS402A,"National Security, Leadership Responsibilities, and Commissioning Preparation",0.75,,,8:00-9:30 TR
13,A S,402LA,Leadership Lab,0.0,,,3:00-4:30 W
16,AFST,AFST100A,Intro Africana Studies,1.0,"PPD, SS",,2:20-3:50 TR
18,AFST,AFST281A,History of the Black Atlantic,1.0,"PPD, SS",W,8:20-9:50 TR
20,AFST,AFST290A,Tps:Gender Law and Womanism/African Feminism,1.0,,,10:00-11:30 TR
22,AFST,AFST290B,Tps:African American Women Playwrights,1.0,"PPD, AH",W,2:20-3:50 TR
24,AFST,AFST390A,AdvTps:Horror and Speculative Films from the Black Diaspora,1.0,"GL, AH",,2:20-3:50 MW
25,AFST,390LA,Film Screening,0.0,,,7:00-9:00 PM T
28,ANTH,ANTH151A,Human Cultures,1.0,SS,,8:20-9:50 TR
30,ANTH,ANTH151B,Human Cultures,1.0,SS,,12:40-2:10 TR
32,ANTH,ANTH151C,Human Cultures,1.0,SS,,2:20-3:50 TR
34,ANTH,ANTH151PA,Human Cultures,1.0,"PPD, SS",,12:30-1:30 MWF
36,ANTH,ANTH153A,Human Origins,1.0,SM,,9:10-10:10 MWF
38,ANTH,ANTH251A,LatAmer&CaribbnCultures,1.0,"GL, SS",W,10:00-11:30 TR
40,ANTH,ANTH261A,Archaeology of the Body,1.0,SS,Q,10:20-11:20 MWF
42,ANTH,ANTH290A,Perspectives: Native Indiana,1.0,SS,,2:50-3:50 MWF
44,ANTH,ANTH441A,Readings and Projects in Anthropology,0.25,,,ARR
46,ANTH,ANTH452A,Senior Seminar,1.0,,S,12:40-2:10 TR
48,ARTD,ARTD120A,Intro to Design Studies,1.0,AH,,8:20-9:50 TR
50,ARTD,ARTD120B,Introduction to Design Studies,1.0,AH,,10:00-11:30 TR
52,ARTD,ARTD291A,IntermedStudio:Design Studies Hybrid Practices,1.0,AH,,12:40-3:30 TR
54,ARTD,ARTD391A,AdvDesign:Hybrid Practices,1.0,AH,,12:40-3:30 TR
56,ARTD,ARTD495A,Design Studies Senior Project,1.0,,S,12:40-3:30 TR
58,ARTH,ARTH131A,Early Art Hist:Before 1400 C.E,1.0,"GL, AH",,9:10-10:10 MWF
60,ARTH,ARTH190A,"Tps:Art History: Ideas, Questions, and Methods Beyond Disciplines",1.0,AH,,12:30-1:30 MWF
62,ARTH,ARTH190B,Tps:Global Catholic Art: 1500 to Present,1.0,"GL, AH",,2:20-3:50 MW
64,ARTH,ARTH218A,Cathedral & Court:Gothic Art,1.0,"GL, AH",,12:40-2:10 TR
66,ARTH,ARTH290A,Tps:Contemporary Queer and Feminist Art,1.0,AH,,10:00-11:30 TR
68,ARTH,ARTH290C,Tps:Colonial Art and Visual Cultures in the Americas,1.0,"GL, AH",,2:20-3:50 TR
70,ARTH,ARTH390A,AdvTps:Contemporary Queer & Feminist Art,1.0,AH,,10:00-11:30 TR
72,ARTH,ARTH494A,Art History Seminar,1.0,,S,12:40-3:30 T
74,ARTS,ARTS163A,Intro to Photography,1.0,AH,,8:30-11:20 TR
